SiteID,df,SS,MSS,Fvalue,Pvalue,Variable,Year
10118,3,2.34034915747379,0.780116385824597,1.67117846592441,0.213093437119697,Treatment,2014
10118,16,7.46889840175702,0.466806150109814,,,Residuals,2014
10231,3,8.30461063109992,2.76820354369997,17.4150875607175,2.71103089093227e-05,Treatment,2014
10231,16,2.54326925114666,0.158954328196666,,,Residuals,2014
10232,3,6.26024325283328,2.08674775094443,28.7219646296257,1.12070596711258e-06,Treatment,2014
10232,16,1.16245404677758,0.0726533779235985,,,Residuals,2014
10240,3,13.1132628541403,4.37108761804677,162.92374058761,3.35385312416565e-12,Treatment,2014
10240,16,0.4292646463708,0.026829040398175,,,Residuals,2014
10267A,3,19.133884492685,6.37796149756166,139.593471984655,1.10439618532338e-11,Treatment,2014
10267A,16,0.731032637201001,0.0456895398250626,,,Residuals,2014
10268B,3,14.1125486038858,4.70418286796192,85.831036830404,4.46003147536193e-10,Treatment,2014
10268B,16,0.876919686244882,0.0548074803903051,,,Residuals,2014
10283,3,4.12727576616125,1.37575858872042,17.5109644286202,0.000168771254890639,Treatment,2014
10283,11,0.864221073465855,0.0785655521332595,,,Residuals,2014
10322,3,5.64461773631898,1.88153924543966,40.6104767053684,1.04247026720024e-07,Treatment,2014
10322,16,0.741302007987878,0.0463313754992424,,,Residuals,2014
10324,3,12.7962382790967,4.26541275969889,18.8733321303932,0.000319398012143232,Treatment,2014
10324,9,2.03401893063015,0.22600210340335,,,Residuals,2014
10329,3,0.94088256254065,0.313627520846883,17.3404679122233,2.78202626002604e-05,Treatment,2014
10329,16,0.289383213818176,0.018086450863636,,,Residuals,2014
10767B,3,24.6133211520911,8.20444038403036,359.894007980182,3.42109007974672e-14,Treatment,2014
10767B,15,0.341952361060794,0.0227968240707196,,,Residuals,2014
10769,3,1.21730026873891,0.405766756246304,13.1942417389896,0.0153021883896108,Treatment,2014
10769,4,0.123013285423517,0.0307533213558793,,,Residuals,2014
10814,3,0.538512162198604,0.179504054066201,11.7114818201508,0.000326429213700892,Treatment,2013
10814,15,0.22990778215274,0.0153271854768494,,,Residuals,2013
10815,3,6.00683156727507,2.00227718909169,16.1512549943163,4.24944215362177e-05,Treatment,2013
10815,16,1.98352605025064,0.123970378140665,,,Residuals,2013
10818,3,2.57566217234677,0.858554057448924,9.73779284099047,0.000679545985875603,Treatment,2013
10818,16,1.41067541110122,0.0881672131938265,,,Residuals,2013
120,3,3.22282038347146,1.07427346115715,59.2326936566199,6.96531851092592e-09,Treatment,2013
120,16,0.290183922381748,0.0181364951488593,,,Residuals,2013
12554A,3,6.98050590183779,2.3268353006126,4.16038635239445,0.0549071938270082,Treatment,2013
12554A,7,3.91498426460176,0.559283466371679,,,Residuals,2013
12554B,3,0.557252438773609,0.185750812924536,1.6049743659098,0.227521995158151,Treatment,2013
12554B,16,1.85175107460851,0.115734442163032,,,Residuals,2013
12555,3,10.1445408816907,3.38151362723023,14.1499980259778,9.15415797095345e-05,Treatment,2013
12555,16,3.8236201825862,0.238976261411638,,,Residuals,2013
12783B,3,3.42877620044046,1.14292540014682,3.79708071317206,0.0313216887556395,Treatment,2013
12783B,16,4.81601729953019,0.301001081220637,,,Residuals,2013
12786B,3,10.1028528789485,3.36761762631616,29.1771329210528,1.00884802517837e-06,Treatment,2013
12786B,16,1.84671613098009,0.115419758186256,,,Residuals,2013
12805B,3,1.32509996963241,0.44169998987747,1.83320465499944,0.181759820924495,Treatment,2013
12805B,16,3.85510685823656,0.240944178639785,,,Residuals,2013
12809,3,5.25530326068624,1.75176775356208,41.8178167794349,6.11605571307303e-07,Treatment,2013
12809,13,0.544576033617955,0.0418904641244581,,,Residuals,2013
12811,3,8.87445908874476,2.95815302958159,1.96127324206398,0.160511205174668,Treatment,2013
12811,16,24.1325111963984,1.5082819497749,,,Residuals,2013
12815,3,5.31669044333198,1.77223014777733,51.4291959465278,1.94133115552328e-08,Treatment,2013
12815,16,0.551353795107342,0.0344596121942089,,,Residuals,2013
12940,3,6.07597368941229,2.02532456313743,34.4523934951719,3.26705163699431e-07,Treatment,2013
12940,16,0.940578860355234,0.0587861787722021,,,Residuals,2013
12946,3,29.3287048292692,9.77623494308973,37.6039239168371,1.78421564951744e-07,Treatment,2013
12946,16,4.15966587517211,0.259979117198257,,,Residuals,2013
138A,3,19.2875054039305,6.42916846797682,59.4553373065019,4.38650639948432e-07,Treatment,2014
138A,11,1.18947862970094,0.108134420881904,,,Residuals,2014
5574,3,3.31910291020745,1.10636763673582,3.34250888068538,0.0457564047450734,Treatment,2012
5574,16,5.29598658362975,0.33099916147686,,,Residuals,2012
5577,3,2.69964729652842,0.89988243217614,1.30984301872172,0.305671463867957,Treatment,2012
5577,16,10.9922477037511,0.687015481484446,,,Residuals,2012
5580,3,3.3712401690483,1.1237467230161,1.81610829359883,0.184819053028655,Treatment,2012
5580,16,9.90026180246567,0.618766362654104,,,Residuals,2012
9240,3,1.96437418173951,0.65479139391317,2.6004827237709,0.0880383511347958,Treatment,2014
9240,16,4.02873751355622,0.251796094597264,,,Residuals,2014
9245,3,13.9605810144309,4.65352700481031,4.06332153093533,0.0252701501183399,Treatment,2014
9245,16,18.3240315860079,1.14525197412549,,,Residuals,2014
9274,3,12.6560907984478,4.21869693281593,34.0682338235581,1.46443631292916e-05,Treatment,2014
9274,10,1.23830808332034,0.123830808332034,,,Residuals,2014
9372,3,0.832860079220447,0.277620026406816,11.3547073498653,0.00692159148195696,Treatment,2014
9372,6,0.14669864287261,0.0244497738121017,,,Residuals,2014
9717,3,35.6429133480327,11.8809711160109,341.154503444184,1.75293812186689e-26,Treatment,2014
9717,36,1.25372802017362,0.0348257783381561,,,Residuals,2014
