Solubility of oxygen in fresh water at various temperatures and pressures
[Solubility shown in milligrams per liter. Values based on published equations by Benson and Krause (1980 and 1984).
 deg C - degrees Celsius; mbar - millibars]

Results from DOTABLES program at http://water.usgs.gov/software/DOTABLES/.
Table generated Wednesday 12-Sep-2012 10:18 EDT

Temp.,Barometric Pressure (mbar),
(deg C),820,830,840,850,860,
15,8.13,8.23,8.33,8.43,8.53,
16,7.95,8.05,8.15,8.25,8.35,
17,7.79,7.88,7.98,8.08,8.18,
18,7.62,7.72,7.82,7.91,8.01,
19,7.47,7.56,7.66,7.75,7.84,
20,7.32,7.41,7.50,7.59,7.69,
21,7.17,7.26,7.35,7.44,7.53,
22,7.03,7.12,7.21,7.30,7.39,
23,6.90,6.98,7.07,7.16,7.24,
24,6.76,6.85,6.94,7.02,7.11,
25,6.64,6.72,6.81,6.89,6.97,
26,6.51,6.60,6.68,6.76,6.85,
27,6.39,6.48,6.56,6.64,6.72,
28,6.28,6.36,6.44,6.52,6.60,
29,6.16,6.24,6.32,6.40,6.48,
30,6.05,6.13,6.21,6.29,6.37,
31,5.95,6.02,6.10,6.18,6.25,
32,5.84,5.92,6.00,6.07,6.15,
